,en,vn,word_type,word_type_vn
10050,hypoandrogenism,giảm androgen (sự),n,danh từ
10051,hypoazoturia,giảm nitơ-niệu,n,danh từ
10052,hypobarism,giảm khí áp (bh),n,danh từ
10053,hypobaropathy,"giảm khí áp (bh), bệnh lên cao",n,danh từ
10054,hypobasophilism,giảm năng thùy trước tuyến yên (sự),n,danh từ
10055,hypobetalipoproteinemia,giảm betalipoprotein-huyết (sự),n,danh từ
10056,hypobilirubinemia,giảm bilirubin-huyết,n,danh từ
10057,hypobranchial,duói cung mang,a,tính từ
10058,hypobulia,"giảm ý chí ,bạc nhược ý chí (sự)",n,danh từ
10059,hypocalcia,"thiếu calci, giảm calci ",n,danh từ
10060,hypocalcification,giảm calci hóa (sự),n,danh từ
10061,hypocalciuria,giảm calci-niệu,n,danh từ
10062,hypocatalasia,giảm catalase-huyết,n,danh từ
10063,hypochlorhydria,giảm axid chlohydric dịch vị,n,danh từ
10064,hypochloridation,thiếu chlorur cơ quan (sự),n,danh từ
10065,hypochlorization,giảm muối (trong ăn uống),n,danh từ
10066,hypochloruria,giảm chlorur-niệu (sự),n,danh từ
10067,hypocholuria,giảm mật-niệu (sự),n,danh từ
10068,hypochondriacal,bệnh tưởng (th),a,tính từ
10069,hypochondriasis,"bệnh tưởng (ch), nghi bệnh (ch)    ",n,danh từ
10070,hypochondrium,hạ sườn,n,danh từ
10071,hypochondroplasia,giảm sinh sụn (sự),n,danh từ
10072,hypochordal,dưới dây sống,a,tính từ
10073,hypochromatic,1.giảm nhiểm sắc thể. 2.giảm  sắc tố,a,tính từ
10074,hypochromatism,giảm sắc tố  (sự),n,danh từ
10075,hypochromatosis,giảm chất nhiễm sắc (sự),n,danh từ
10076,hypochromemia,giảm chỉ số huyết sắc (sự),n,danh từ
10077,hypochromotrichia,giảm sắc tố lông tóc (ch),n,danh từ
10078,hypochrosis,thiếu máu giảm sắc,n,danh từ
10079,hypochylia,giảm tiết dịch vị (ch),n,danh từ
10080,hypocinesia,giảm vận động (ch),n,danh từ
10081,hypocitremia,giảm axit citric-huyết,n,danh từ
10082,hypocitruria,giảm axit citric-niệu,n,danh từ
10083,hypocoelom,khoang dưới,n,danh từ
10084,hypocondylar,dưới lồi cầu,a,tính từ
10085,hypocone,núm sau-trong của răng hàm trên,n,danh từ
10086,hypoconid,núm sau-ngoài của răng hàm dưới,n,danh từ
10087,hypoconule,núm thứ năm của răng hàm trên,n,danh từ
10088,hypoconulid,núm thứ năm của răng hàm dưới,n,danh từ
10089,hypocotyl,trụ dưới lá mầm,n,danh từ
10090,hypocrine,giảm năng nội tiết (do),a,tính từ
10091,hypocrinism,giảm nội tiết (ch),n,danh từ
10092,hypocupremia,giảm đồng-huyết,n,danh từ
10093,hypocyclosis,giảm điều tiết (mắt) (ch),n,danh từ
10094,hypocystotomy,mở bàng quang qua đáy chậu (thth),n,danh từ
10095,hypocythemia,giảm hồng tế bào (ch),n,danh từ
10096,hypocytosis,giảm huyết tế bào (sự),n,danh từ
10097,hypodactyly,thiếu ngón (tật),n,danh từ
10098,hypodense,kém đậm nét (trong X Quang),a,tính từ
10099,hypoderm,mô hạ bì,n,danh từ
10100,Hypoderma,giòi ruồi da,n,danh từ
10101,hypodermatomy,rạch dưới da  (thth),n,danh từ
10102,hypodermic,dưới da,a,tính từ
10103,hypodermis,"lớp dưới da, mô hạ bì",n,danh từ
10104,hypodermoclysis,truyền dịch dưới da (sự),n,danh từ
10105,hypodermolithiasis,sỏi dưới da (bh),n,danh từ
10106,hypodermyasis,giòi bò trong da (ch),n,danh từ
10107,hypodiploid,giảm lưỡng bội (th);  giảm lưỡng bội (cá thể),"a,n",tính từ
10108,hypodiploidy,giảm lưỡng bội (tình trạng),n,danh từ
10109,hypodontia,phát triền răng bất toàn (sự),n,danh từ
10110,hypoechoic,giảm hồi thanh,a,tính từ
10111,hypoelectrolytemia,giảm chất điện phân-huyết,n,danh từ
10112,hypoemotivity,"thiếu tình cảm, thiếu xúc cảm (sự)",n,danh từ
10113,hypoendocrinism,giảm hoạt nội tiết (sự),n,danh từ
10114,hypoeosinophilia,giảm tế bào ưa eosin (ssự),n,danh từ
10115,hypoepinephrinemia,giảm adrenalin-huyết (sự),n,danh từ
10116,hypoepinephry,giảm năng tuyến thượng thận,n,danh từ
10117,hypoequilibrium,giảm cảm giác thăng bằng,n,danh từ
10118,hypoesophoria,lác ẩn dưới trong,n,danh từ
10119,hypoevolutism,chậm phát triển (sự),n,danh từ
10120,hypoexophoria,lác ẩn dưới ngoài,n,danh từ
10121,hypoferremia,giảm sắt-huyết (sự),n,danh từ
10122,hypoferrism,giảm sắt cơ thể (sự),n,danh từ
10123,hypofibrinogenemia,giảm fibrinogen-huyết (sự),n,danh từ
10124,hypofunction,"thiểu năng, giảm năng",n,danh từ
10125,hypogammaglobulinemia,giảm gammaglobulin-huyết (sự),n,danh từ
10126,hypoganglionosis,thiếu tế bào hạch lớp cơ ruột (sự),n,danh từ
10127,hypogastric,hạ vị,a,tính từ
10128,hypogastrium,vùng hạ vị,n,danh từ
10129,hypogastropagus,liên thai dính hạ vị,n,danh từ
10130,hypogastroschisis,nứt hạ vị (tật),n,danh từ
10131,hypoglandular,giảm năng tuyến nội tiết,a,tính từ
10132,hypoglossal,dưới lưỡi,a,tính từ
10133,hypoglucagonemia,giảm glucagon-huyết,n,danh từ
10134,hypoglycemosis,giảm glucose (ch),n,danh từ
10135,hypoglycogenolysis,giảm phân giải glycogen (sự),n,danh từ
10136,hypoglycorrhachia,giảm glucose-dịch não tủy,n,danh từ
10137,hypognathus,thai ký sinh hàm dưới,n,danh từ
10138,hypogonadism,giảm năng tuyến sinh dục,n,danh từ
10139,hypogonadotropic,thiếu gonadotropin (th) (do),a,tính từ
10140,hypogranulocytosis,giảm tế bào hạt (ch),n,danh từ
10141,hypohepatia,"suy gan, giảm năng gan",n,danh từ
10142,hypohormonism,"giảm năng tuyến nội tiết, thiểu năng tuyến nội tiết ",n,danh từ
10143,hypohypnotic,giấc ngủ nông (th),a,tính từ
10144,hypoinsulinemia,giảm insulin-huyết,n,danh từ
10145,hypoinsulinism,giảm tiết insulin (sự),n,danh từ
10146,hypointense,giảm cường độ,n,danh từ
10147,hypoiodidism,giảm iodur cơ thể,n,danh từ
10148,hypoisotonic,dưới ưu trương,a,tính từ
10149,hypokinemia,giảm lưu lượng tim (ch),n,danh từ
10150,hypolactasia,thiếu lactase ruột,n,danh từ
10151,hypolarynx,hạthanh quản,n,danh từ
10152,hypolemmal,dưới màng,a,tính từ
10153,hypolethal,dưới liều gây chết,a,tính từ
10154,hypoleydigism,giảm năng tế bào Leidig,n,danh từ
10155,hypolipemia,giảm lipid-huyết,n,danh từ
10156,hypolipidemic,giảm mỡ huyết thanh (gây),a,tính từ
10157,hypolipoproteinemia,giảm lipoprotein-huyết,n,danh từ
10158,hypoliposis,giảm mỡ (ở mô hay máu),n,danh từ
10159,hypolymphemia,giảm bạch tế bào-huyết,n,danh từ
10160,hypomagnesemia,giảm magnesi-huyết,n,danh từ
10161,hypomania,hưng cảm nhẹ (ch),n,danh từ
10162,hypomanic,"hưng cảm nhẹ (th), (người)","a,n",tính từ
10163,hypomastia,quá nhỏ tuyến vú (sự),n,danh từ
10164,hypomelancholia,ưu sầu nhẹ (ch),n,danh từ
10165,hypomelanosis,giảm melanin (hắc sắc tố)-mô,n,danh từ
10166,hypomenorrhea,ít kinh nguyệt (ch),n,danh từ
10167,hypomere,phần dưới túi khoang,n,danh từ
10168,hypomesoma,tầm vóc dưới trung bình,n,danh từ
10169,hypomethioninemia,giảm methionin-huyết,n,danh từ
10170,hypometria,giảm phạm vi động tác (sự),n,danh từ
10171,hypomicrosoma,tầm vóc quá nhỏ,n,danh từ
10172,hypomineralization,giảm khoáng chất cơ thể,n,danh từ
10173,hypomnesis,giảm trí nhớ (sự),n,danh từ
10174,hypomodal,dưới phương thức(Thống kê),a,tính từ
10175,hypomorph,alen giảm hình (DTH),n,danh từ
10176,hypomotility,giảm vận động (sự),n,danh từ
10177,hypomyotonia,giảm trương lực cơ (sự),n,danh từ
10178,hypomyxia,giảm tiết niêm dịch(sự),n,danh từ
10179,hyponanosoma,thân hình quá nhỏ (người),n,danh từ
10180,hyponasality,giọng mũi quá nhỏ (như tịt mũi),n,danh từ
10181,hyponatremia,giảm natri-huyết (sự),n,danh từ
10182,hyponatruria,giảm natri-niệu (sự),n,danh từ
10183,hyponeocytosis,giảm bạch tế bào có bạch tế bào non (ch),n,danh từ
10184,hyponitremia,giảm nitơ-huyết,n,danh từ
10185,hyponoia,tâm thần trì độn (chậm chạp),n,danh từ
10186,hyponychial,dưới móng,a,tính từ
10187,hyponychium,biểu bì dưới móng [[giáp hạ bì]],n,danh từ
10188,hyponychon,bầm máu dưới móng,n,danh từ
10189,hypo-orchidism,giảm năng tinh hoàn,n,danh từ
10190,hypo-orthocytosis,giảm bạch tế bào tỷ lệ đều,n,danh từ
10191,hypo-osmolality,giảm nồng độ osmol/kg nước  dịch cơ thể (tính theo trọng lượng),n,danh từ
10192,hypo-ovarrianism,giảm năng buồng trứng,n,danh từ
10193,hypopallesthesia,giảm chấn động giác (sự),n,danh từ
10194,hypopancreatism,thiểu năng tuyến tụy (sự) giảm năng tuyến tụy  (sự),n,danh từ
10195,hypopancreorrhea,giảm tiết tuyến tụy (sự),n,danh từ
10196,hypoparathyroidism,giảm năng tuyến cận giáp (ch),n,danh từ
10197,hypopepsia,kém tiêu hóa (ch),n,danh từ
10198,hypopepsinia,giảm tiết pepsin dạ dày (ch),n,danh từ
10199,hypoperfusion,giảm lưu dẫn máu (sự),n,danh từ
10200,hypophalangism,thiếu đốt ngón (sự),n,danh từ
10201,hypopharyngoscope,soi hạ hầu (kính) [[hạ yết kính]],n,danh từ
10202,hypopharyngoscopy,soi hạ hầu (sự),n,danh từ
10203,hypophonesis,giảm âm thính chẩn (sự),n,danh từ
10204,hypophonia,nói thì thầm (ch) (mất tiếng),n,danh từ
10205,hypophoria,lác ẩn dưới,n,danh từ
10206,hypophosphatasia,thiếu phosphatase (ch),n,danh từ
10207,hypophosphaturia,giảm photphat-niệu,n,danh từ
10208,hypophosphite,hypophosphit,n,danh từ
10209,hypophrenia,chậm phát triển tâm trí (sự) thiểu năng tâm thần (sự),n,danh từ
10210,hypophrenium,khoang dưới cơ hoành,n,danh từ
10211,hypophysectomy,cắt bỏ tuyến yên (thth),n,danh từ
10212,hypophysial,tuyến yên (th),a,tính từ
10213,hypophysioportal,mạch cửa tuyến yên (th),a,tính từ
10214,hypophysioprivic,giảm tiết tuyến yên (th),a,tính từ
10215,hypophysiotropic,kích tuyến yên,a,tính từ
10216,hypophysis,tuyến yên,n,danh từ
10217,hypophysitis,viêm tuyến yên,n,danh từ
10218,hypopiesia,giảm huyết áp vô căn,n,danh từ
10219,hypopigmentation,giảm sắc tố,n,danh từ
10220,hypopigmenter,giảm sắc tố da (chất),n,danh từ
10221,hypopinealism,giảm năng tuyến tùng (ch),n,danh từ
10222,hypopituitarism,giảm năng tuyến yên (ch),n,danh từ
10223,hypoploid,giảm bội thể,n,danh từ
10224,hypoponesis,giảm năng khu vận động vỏ não,n,danh từ
10225,hypoporosis,giảm tạo can xương (sự),n,danh từ
10226,hypoposia,uống quá ít (sự),n,danh từ
10227,hypopotentia,quá hạ điện thế (vỏ não) (sự),n,danh từ
10228,hypopraxia,giảm vận động (sự),n,danh từ
10229,hypoprosody,giảm điều tiết âm ngữ,n,danh từ
10230,hypoproteinemia,giảm protein-huyết,n,danh từ
10231,hypoproteinosis,thiếu dinh dưỡng protein (ch),n,danh từ
10232,hypoprothrombinemia,giảm prothrombin-huyết (sự),n,danh từ
10233,hypopselaphesia,giảm xúc giác (ch),n,danh từ
10234,hypoptyalism,giảm tiết nước bọt (ch),n,danh từ
10235,hypopus,"thể ngủ, thể hưu miên (của ve, bét)",n,danh từ
10236,hypopyon,mủ tiền phòng (ch),n,danh từ
10237,hyporeactive,giảm phản ứng (sự),n,danh từ
10238,hyporeflexia,giảm phản xạ (ch),n,danh từ
10239,hyporrhea,xuất huyết ít (sự),n,danh từ
10240,hyposalemia,giảm muối-huyết (ch),n,danh từ
10241,hyposarca,phù toàn thân,n,danh từ
10242,hyposcheotomy,chọc (thủy tinh mạc) phần dưới tinh mạc (thth),n,danh từ
10243,hyposcleral,dưới củng mạc,a,tính từ
10244,hyposecretion,giảm tiết (sự),n,danh từ
10245,hyposensitization,"giải mẫn cảm, thoát mẫn (sự)",n,danh từ
10246,hyposexuality,giảm tình dục,n,danh từ
10247,hyposmia,giảm khứu giác  (sự),n,danh từ
10248,hyposmolarity,giảm nồng độ thẩm thấu,n,danh từ
10249,hyposmosis,giảm thẩm thấu,n,danh từ
10250,hyposomatotropism,giảm tiết somatotropin (sự),n,danh từ
10251,hyposomia,kém phát triển thân thể,n,danh từ
10252,hyposomnia,mất ngủ (ch),n,danh từ
10253,hypospadiac,lỗ tiểu thấp (người),n,danh từ
10254,hypospadias,lỗ tiểu thấp (tật),n,danh từ
10255,hyposplenism,giảm năng lách (ch),n,danh từ
10256,hyposteatolysis,giảm phân giải mỡ (sự),n,danh từ
10257,hyposteatosis,giảm tiết bã nhờn (sự),n,danh từ
10258,hypostheniant,gây suy nhược (chất),"a,n",tính từ
10259,hyposthenuria,giảm cô đặc niệu,n,danh từ
10260,hypostome,"mảnh dưới miệng, mấu miệng (của ve, tích)",n,danh từ
10261,hypostomia,miệng nhỏ (tật),n,danh từ
10262,hypostosis,giảm phát triển xương (sự),n,danh từ
10263,hyposuprarenalism,giảm năng tuyến thượng thận (ch),n,danh từ
10264,hyposympathicotonus,nhược thần kinh giao cảm (ch),n,danh từ
10265,hyposynergia,kém hiệp đồng động tác (sự),n,danh từ
10266,hyposystole,giảm tâm thu (ch),n,danh từ
10267,hypotaxia,giảm tự chủ(sự) (lúc bắt đầu bị thôi miên),n,danh từ
10268,hypotelorism,giảm khoảng cách  (giữa hai cơ quan),n,danh từ
10269,hypotension,giảm huyết áp (sự),n,danh từ
10270,hypotensor,"giảm huyết áp (chất, thuốc)",n,danh từ
10271,hypothalamic,"hạ đồi, vùng dưới đồi (th)",a,tính từ
10272,hypothalamotomy,gây thương tổn vùng dưới đồi (thth),n,danh từ
10273,hypothalamus,"hạ đồi,vùng dưới đồi",n,danh từ
10274,hypothenar,mô út,n,danh từ
10275,hypothesis,giả thuyết,n,danh từ
10276,hypothrepsia,suy dinh dưỡng (sự),n,danh từ
10277,hypothrombinemia,giảm prothrombin-huyết (sự),n,danh từ
10278,hypothymism,giảm năng tuyến ức (sự),n,danh từ
10279,hypothyroid,giảm năng tuyến giáp (do)(th),a,tính từ
10280,hypotonia,giảm trương lực; giảm áp lực (sự),n,danh từ
10281,hypotoxicity,giảm độc tính (tình trạng),n,danh từ
10282,hypotrichiasis,hói bẩm sinh (ch),n,danh từ
10283,hypotrichosis,thưa lông tóc (ch),n,danh từ
10284,hypotrophy,suy dinh dưỡng (sự),n,danh từ
10285,hypotropia,lác ẩn dưới,n,danh từ
10286,hypotryptophanic,thiếu tryptophan (sự),a,tính từ
10287,hypotympanotomy,mở bộ phận dưới hòm nhĩ (thth),n,danh từ
10288,hypotympanum,"bộ phận dưới hòm nhĩ, hạ nhĩ ",n,danh từ
10289,hypouremia,giảm urê-huyết (sự),n,danh từ
10290,hypouresis,giảm niệu (sự),n,danh từ
10291,hypouricemia,giảm axit uric-huyết (sư,n,danh từ
10292,hypouricuria,giảm axit uric-niệu (sự),n,danh từ
10293,hypourocrinia,giảm tiết niệu (sự),n,danh từ
10294,hypovenosity,kém phát triển hệ tĩnh mạch (sự),n,danh từ
10295,hypoventilation,giảm thông khí (tình trạng),n,danh từ
10296,hypovitaminosis,thiếu vitamin (ch),n,danh từ
10297,hypovolia,"giảm lượng nước (sự), giảm dịch (sự)",n,danh từ
10298,hypoxemia,giảm oxy-huyết (ch),n,danh từ
10299,hypoxia-ischemia,thiếu oxy-thiếu máu cục bộ (ch),n,danh từ
10300,hypoxidosis,thiếu oxy (ch),n,danh từ
10301,hypsi-,cao,pref.,tiền tố
10302,hypsibrachycephalic,đầu rộng và cao (có),a,tính từ
10303,hypsyconchous,cao hốc mắt,a,tính từ
10304,hypsiloid,hình chữ Y,a,tính từ
10305,hypsiphobia,sợ nơi cao (ám),n,danh từ
10306,hypsistaphylia,vòm miệng cao và hẹp,n,danh từ
10307,hypsistenocephalic,sọ cao và hẹp (th),a,tính từ
10308,hypsocephalous,nhọn đầu,a,tính từ
10309,hypsochrome,hướng màu về bước sóng ngắn (nhạt màu),boû!,boû!
10310,hypsochromy,hướng màu về bước sóng ngắn (nhạt màu) (sự,boû!,boû!
10311,hypsokinesis,ngữa người ra sau (ch),n,danh từ
10312,hypsonosus,say độ cao (bh),n,danh từ
10313,hypsotherapy,liệu pháp vùng cao,n,danh từ
10314,hypurgia,"nhân tố phụ trợ, phụ trợ liệu pháp",n,danh từ
10315,hysteralgia,đau tử cung (ch),n,danh từ
10316,hysteratresia,hẹp tử cung (ch),n,danh từ
10317,hysterectomy,cắt bỏ tử cung (thth),n,danh từ
10318,hysteresis,trễ (hiện tượng),n,danh từ
10319,hystereurynter,nong tử cung (cái),n,danh từ
10320,hystereurysis,nong tử cung (sự),n,danh từ
10321,hysteria,hysteri,n,danh từ
10322,hysteriac,hysteri (bệnh nhân),n,danh từ
10323,hystericism,"hysteri (xu hướng), hysteri (bản chất)",n,danh từ
10324,hysterics,"hysteri; kích động, cuồng loạn (cơn)",n,danh từ
10325,hysteriform,hysteri (dạng),a,tính từ
10326,hysterobubonocele,thoát vị tử cung bẹn,n,danh từ
10327,hysterocele,thoát vị tử cung,n,danh từ
10328,hysterocleisis,đóng lỗ tử cung (thth),n,danh từ
10329,hysterocolpectomy,cắt bỏ tử cung-cổ (thth),n,danh từ
10330,hysterocolposcope,đèn nội soi tử cung,n,danh từ
10331,hysterocystic,tử cung-bàng quang (th),a,tính từ
10332,hysterocystocleisis,lộn cổ tử cung khâu vào bàng quang (thth),n,danh từ
10333,hysterodynia,đau tử cung (ch),n,danh từ
10334,hysteroepilepsy,hysteri dạng  động kinh,n,danh từ
10335,hysteroerotic,hysteri khiêu dâm,a,tính từ
10336,hysterogram,chụp tử cung (phim ),n,danh từ
10337,hysterograph,ghi lực co tử cung (máy),n,danh từ
10338,hysteroid,dạng hysteri,a,tính từ
10339,hysterolith,sỏi tử cung,n,danh từ
10340,hysterology,tử cung học,n,danh từ
10341,hysterolysis,gỡ dính tử cung (thth),n,danh từ
10342,hysteromania,cuồng dâm của phụ nữ (bh),n,danh từ
10343,hysterometer,tử cung kế,n,danh từ
10344,hysterometry,đo tử cung (phép),n,danh từ
10345,hysteromyoma,u cơ tử cung,n,danh từ
10346,hysteromyomectomy,cắt bỏ u cơ tử cung (thth),n,danh từ
10347,hysteromyotomy,mỡ cơ tử cung (thth),n,danh từ
10348,hysteronarcolepsy,cơn ngủ rũ hysteri,n,danh từ
10349,hysteroneurasthenia,suy nhược thần kinh hysteri,n,danh từ
10350,hysteropathy,bệnh tử cung,n,danh từ
10351,hysteropexy,cố định tử cung (thth),n,danh từ
10352,hysteropia,loạn thị giác do hysteri,n,danh từ
10353,hysterorrhexis,vỡ tử cung,n,danh từ
10354,hysterosalpingectomy,cắt bỏ tử cung-vòi (thth),n,danh từ
10355,hysterosalpingography,chụp tử cung-vòi (thuật),n,danh từ
10356,hysterosalpingo-oophorectomy,cắt bỏ tử cung-vòi-buồng trứng (thth),n,danh từ
10357,hysterosalpingostomy,mở thông tử cung-vòi (thth),n,danh từ
10358,hysteroscope,nội soi tử cung (kính),n,danh từ
10359,hysteroscopy,nội soi tử cung (thuật),n,danh từ
10360,hysterospasm,co thắt tử cung (ch),n,danh từ
10361,hysterostat,giữ ống radi trong tử cung (cái),n,danh từ
10362,hysterostomatocleisis,đóng lỗ tử cung (thth),n,danh từ
10363,hysterostomatomy,mở lỗ tử cung (thth),n,danh từ
10364,hysterothermometry,đo nhiệt độ tử cung (phép),n,danh từ
10365,hysterotome,dao mổ tử cung,n,danh từ
10366,hysterotomy,mở tử cung (thth),n,danh từ
10367,hysterotrachelectasia,nong cổ tử cung-tử cung (thth),n,danh từ
10368,hysterotrachelectomy,cắt bỏ cổ tử cung (thth),n,danh từ
10369,hysterotracheloplasty,tạo hình cổ tử cung (thth),n,danh từ
10370,hysterotrachelorrhaphy,khâu cổ tử cung (thth),n,danh từ
10371,hysterotrachelotomy,mở cổ tử cung (thth),n,danh từ
10372,hysterotraumatism,hysteri chấn thương,n,danh từ
10373,hysterovaginoenterocele,sa tử cung-âm đạo-ruột,n,danh từ
10374,insectivorous,loài ăn côn trùng (th),a,tính từ
10375,insemination,thụ tinh (sự),n,danh từ
10376,insenescence,lão hóa (sự),n,danh từ
10377,insert,vật lồng vào,n,danh từ
10378,insheathed,bọc trong màng,a,tính từ
10379,insidious,"âm ỉ, âm thầm",a,tính từ
10380,insight,nhìn thấu suốt (sự) sáng suốt (sự),n,danh từ
10381,in situ,nguyên vị,L,L
10382,insoluble,không tan,a,tính từ
10383,insomnia,mất ngủ (ch),n,danh từ
10384,insomniac,mất ngủ (người),n,danh từ
10385,insomnic,mất ngủ,a,tính từ
10386,insonate,tiếp thụ siêu âm,v,động từ
10387,insorption,nội hấp thụ,n,danh từ
10388,inspection,"kiểm tra, thị sát",n,danh từ
10389,inspectionism,thị dâm (ch),n,danh từ
10390,inspersion,rắc bột  (sự),n,danh từ
10391,inspirate,hít vào,v,động từ
10392,inspiration,hít vào (sự),n,danh từ
10393,inspirator," thở (máy),  hít (máy)",n,danh từ
10394,inspiratory,hít vào (th),a,tính từ
10395,inspirometer,đo khí hít vào (máy),n,danh từ
10396,inspissated,"làm dày, cô đặc",a,tính từ
10397,inspissation,"làm dày, cô đặc (sự)",n,danh từ
10398,inspissator,cô đặc (máy),n,danh từ
10399,instability,bất ổn định (tính),n,danh từ
10400,instar,tuổi (giai đoạn giữa hai lần lột xác),n,danh từ
10401,instep,mu bàn chân,n,danh từ
10402,instillation,nhỏ giọt (sự),n,danh từ
10403,instillator,nhỏ giọt (dụng cụ ),n,danh từ
10404,institutionalization,1.thu dung nhập viện 2. thích sống thu dung,n,danh từ
10405,instrumentarium,dụng cụ (bộ),n,danh từ
10406,instrumentation,thao tác dụng cụ,n,danh từ
10407,instrumentalist,dụng cụ viên,n,danh từ
10408,insuccation,ngấm nước (sự),n,danh từ
10409,insudate,tích tụ (vật),n,danh từ
10410,insudation,tích tụ (sự),n,danh từ
10411,insufficiency,"thiểu năng, bất túc, bất toàn (sự)",n,danh từ
10412,insufflation,bơm (sự),n,danh từ
10413,insufflator,dụng cụ bơm,n,danh từ
10414,insula,thùy đảo,n,danh từ
10415,insular,"thùy đảo (th), đảo tụy (th)",a,tính từ
10416,insulation,"cách điện (sự, vật); cách ly (sự)",n,danh từ
10417,insulator,cách điện (vật),n,danh từ
10418,insulin,insulin,n,danh từ
10419,insulinemia,insulin-huyết,n,danh từ
10420,insulinlipodystrophy,teo mỡ cục bộ do tiêm insulin,n,danh từ
10421,insulinogenesis,sinh insulin (sự),n,danh từ
10422,insulinogenic,sinh insulin (th),a,tính từ
10423,insulinoid,dạng insulin ; giống insulin (chất),n,danh từ
10424,insulinoma,u đão tụy,n,danh từ
10425,insulinopenic,giảm tiết insulin,a,tính từ
10426,insulitis,viêm đảo tụy,n,danh từ
10427,insusceptibility,"miễn dịch (sự), đề kháng (sự)",n,danh từ
10428,intake,"cung cấp (sự), khẩu phần",n,danh từ
10429,in tela,trong mô,L,L
10430,intellect,"trí lực, tài trí, trí tuệ, trí năng",n,danh từ
10431,intellectualization,"lý trí hóa (sự),",n,danh từ
10432,intelligence,"trí thông minh, trí lực",n,danh từ
10433,intemperance,"không điều độ, không tự chế, quá độ (sự)",n,danh từ
10434,intensification,"cường hóa (sự), tăng cường (sự)",n,danh từ
10435,intensimeter,cường độ kế tia X,n,danh từ
10436,intensionometer,lượng kế cường độ tia X,n,danh từ
10437,intensity,cường độ,n,danh từ
10438,intensive,"gia cường, tăng cường",a,tính từ
10439,intensivist,hồi sức (thầy thuốc ),n,danh từ
10440,intentional,"hữu ý, cố ý, cố tình ",a,tính từ
10441,inter-,"gian, trung gian, giữa",pref.,tiền tố
10442,interaccessory,gian mõm phụ,a,tính từ
10443,interacinar," gian tuyến nang, liên tuyến nang",a,tính từ
10444,interaction,tác dụng tương hỗ,n,danh từ
10445,interagglutination,ngưng kết tương hỗ (phản ứng),n,danh từ
10446,interalveolar,"gian phế nang, liên phế nang",a,tính từ
10447,interangular,"gian giác, liên giác",a,tính từ
10448,interannular,"gian vòng, liên vòng",a,tính từ
10449,interarticular,gian khớp,a,tính từ
10450,interarytenoid,gian sụn phễu,a,tính từ
10451,interbrain,"gian não,  não trung gian
",n,danh từ
10452,intercalary,xen giữa,a,tính từ
10453,intercalate,xen giữa,v,động từ
10454,intercanalicular,gian tiểu quản,a,tính từ
10455,intercapillary,gian mao huyết quản,a,tính từ
10456,intercarpal,gian xương cổ tay,a,tính từ
10457,intercartilaginous,gian sụn,a,tính từ
10458,intercavernous,gian xoang,a,tính từ
10459,intercellular,gian bào,a,tính từ
10460,intercentral,gian trung tâm (thần kinh),a,tính từ
10461,interchange,"trao đổi, giao hoán (sự)",n,danh từ
10462,intercilium,giữa hai lông mày (khoảng),n,danh từ
10463,interclavicular,gian xương bả vai,a,tính từ
10464,interclinoid,gian mỏm yên,a,tính từ
10465,intercoccygeal,gian xương cụt,a,tính từ
10466,intercolumnar,"gian trụ, gian cột",a,tính từ
10467,intercondylar,gian lồi cầu,a,tính từ
10468,intercostal,giữa sườn,a,tính từ
10469,intercostohumeral,gian sườn-cánh tay,a,tính từ
10470,intercourse,giao hợp; giao tiếp,n,danh từ
10471,intercricothyrotomy,"mở thanh quản dưới, mở thanh quản qua màng nhẫn giáp",n,danh từ
10472,intercristal,gian mào,a,tính từ
10473,intercritical,giữa các cơn,a,tính từ
10474,intercross,"lai chéo , tạp giao (sự)",n,danh từ
10475,intercrural,"gian đùi, giữa hai đùi",a,tính từ
10476,intercurrent,gian phát,a,tính từ
10477,intercuspation,khớp múi răng (sự),n,danh từ
10478,intercusping,khớp múi răng  (sự),n,danh từ
10479,interdeferential,gian tinh quản,a,tính từ
10480,interdental,"giữa hai răng, gian răng",a,tính từ
10481,interdentale,gian điểm răng cửa giữa,n,danh từ
10482,interdentium,kẽ răng,n,danh từ
10483,interdigit,giữa hai ngón,n,danh từ
10484,interdigital,giữa hai ngón (th),a,tính từ
10485,interdigitate,cài vào nhau,v,động từ
10486,interdigitation,"cài vào nhau, cài răng lược  (sự)",n,danh từ
10487,interfascicular,giữa bó,a,tính từ
10488,interfemoral,"gian đùi, giữa hai đùi",a,tính từ
10489,interference,can thiệp ; trở ngại; nhiễu (sự);  giao thoa (sự) (Lý),n,danh từ
10490,interferometer,giao thoa kế,n,danh từ
10491,interferometry,đo giao thoa (sự),n,danh từ
10492,interferon,interferon,n,danh từ
10493,interfibrillar,"giữa tơ, giữa sợi nhỏ",a,tính từ
10494,interfibrous,giữa sợi,a,tính từ
10495,interfilamentous,giữa sợi,a,tính từ
10496,interfilar,giữa sợi lưới,a,tính từ
10497,interfrontal,giữa xương trán,a,tính từ
10498,interfurca,giữa chân răng (vùng),n,danh từ
10499,interganglionic,gian hạch,a,tính từ
10500,intergemmal,giữa nụ,a,tính từ
10501,interglobular,gian  cầu TQ,a,tính từ
10502,intergluteal,giữa mông,a,tính từ
10503,intergonial,giữa góc hàm dưới,a,tính từ
10504,intergradation,"chuyển tiếp, chuyển bậc (sự), dạng quá độ (SH)",n,danh từ
10505,intergranular,giữa hạt,a,tính từ
10506,intergyral,gian thùy não,a,tính từ
